,Strain,Fluor1 mean
0,acrAB,526.4383561643835
1,acrAB,519.8538011695906
2,acrAB,532.8095238095239
3,acrAB,520.4857142857143
4,acrAB,518.0373134328358
5,acrAB,524.6765957446809
6,acrAB,526.5825242718447
7,acrAB,532.0
8,acrAB,524.3497942386831
9,acrAB,531.25
10,acrAB,530.4761904761905
11,acrAB,524.6569767441861
12,acrAB,524.2727272727273
13,acrAB,517.847533632287
14,acrAB,519.6017699115044
15,acrAB,524.3789473684211
16,acrAB,520.1863636363636
17,acrAB,519.185393258427
18,acrAB,518.655462184874
19,acrAB,531.5906040268457
20,acrAB,538.0333333333333
21,acrAB,518.7272727272727
22,acrAB,521.4126213592233
23,acrAB,536.7611940298508
24,acrAB,525.1910112359551
25,acrAB,519.8888888888889
26,acrAB,522.4981751824818
27,acrAB,525.3312302839116
28,acrAB,527.030303030303
29,acrAB,518.8018018018018
30,acrAB,526.9603174603175
31,acrAB,521.8231292517007
32,acrAB,530.7878787878788
33,acrAB,515.2562814070352
34,acrAB,528.4545454545455
35,acrAB,522.0162162162162
36,acrAB,531.8414634146342
37,acrAB,518.8860103626943
38,acrAB,529.0452488687782
39,acrAB,543.0196078431372
40,acrAB,522.3003300330033
41,acrAB,526.9003558718862
42,acrAB,523.9380530973451
43,acrAB,521.2770562770563
44,acrAB,522.8243243243244
45,acrAB,535.0571428571428
46,acrAB,520.0679012345679
47,acrAB,522.7904761904762
48,acrAB,524.4947368421052
49,acrAB,526.24
50,acrAB,521.8952879581152
51,acrAB,531.7721179624665
52,acrAB,524.6852791878173
53,acrAB,530.8415841584158
54,acrAB,522.3488372093024
55,acrAB,536.5
56,acrAB,517.1341463414634
57,acrAB,520.0872483221476
58,acrAB,529.2340425531914
59,acrAB,522.10625
60,acrAB,520.3737373737374
61,acrAB,529.03125
62,acrAB,512.8497409326425
63,acrAB,540.280612244898
64,acrAB,518.2011834319527
65,acrAB,540.6636363636363
66,acrAB,540.0678733031674
67,acrAB,530.6833333333333
68,acrAB,520.4793388429752
69,acrAB,523.2941176470588
70,acrAB,526.0106382978723
71,acrAB,526.8682634730538
72,acrAB,535.5909090909091
73,acrAB,520.4846153846154
74,acrAB,570.9425287356322
75,acrAB,529.6177777777777
76,acrAB,522.1921708185054
77,acrAB,529.8
78,acrAB,523.012987012987
79,acrAB,522.3040935672515
80,acrAB,500.68
81,acrAB,523.7739130434783
82,acrAB,524.0648148148148
83,acrAB,501.3333333333333
84,acrAB,495.7037037037037
85,acrAB,528.5058139534884
86,acrAB,526.7292576419214
87,acrAB,549.9404761904761
88,acrAB,516.2317073170732
89,acrAB,525.7823834196892
90,acrAB,522.968992248062
91,acrAB,524.5714285714286
92,acrAB,516.6895161290323
93,acrAB,513.3145161290323
94,acrAB,523.0296296296297
95,acrAB,523.7372262773723
96,acrAB,534.16
97,acrAB,529.1212121212121
98,acrAB,526.578947368421
99,acrAB,515.7816091954023
100,acrAB,522.9449541284404
101,acrAB,512.574074074074
102,acrAB,522.406862745098
103,acrAB,519.8579881656805
104,acrAB,521.9545454545455
105,acrAB,514.3444976076555
106,acrAB,532.0467289719626
107,acrAB,517.5303430079156
108,acrAB,528.2640449438202
109,acrAB,518.1724137931035
110,acrAB,514.5656565656566
111,acrAB,522.7730496453901
112,acrAB,523.939024390244
113,acrAB,518.1971830985915
114,acrAB,518.5934065934066
115,acrAB,518.3257839721255
116,acrAB,516.6571428571428
117,acrAB,515.4785276073619
118,acrAB,516.0275862068966
119,acrAB,522.7434210526316
120,acrAB,519.9555555555555
121,acrAB,528.5581395348837
122,acrAB,518.1866028708134
123,acrAB,522.8415841584158
124,acrAB,517.7176470588236
125,acrAB,521.1891891891892
126,acrAB,518.4591836734694
127,acrAB,524.327868852459
128,acrAB,511.93172690763055
129,acrAB,532.5193798449612
130,acrAB,516.6959459459459
131,acrAB,522.3828571428571
132,acrAB,508.84302325581393
133,acrAB,529.3866666666667
134,acrAB,551.8482142857143
135,acrAB,502.9013157894737
136,acrAB,525.2748091603054
137,acrAB,522.9174757281553
138,acrAB,538.5757575757576
139,acrAB,515.0754716981132
140,acrAB,528.1555555555556
141,acrAB,514.75
142,acrAB,509.86147186147184
143,acrAB,529.4921875
144,acrAB,513.2517006802722
145,acrAB,529.5347222222222
146,acrAB,525.5739130434782
147,acrAB,530.3003802281369
148,acrAB,528.2433460076046
149,acrAB,524.5390625
150,acrAB,523.0612903225806
151,acrAB,525.8909090909091
152,acrAB,533.4851485148515
153,acrAB,530.4810126582279
154,acrAB,519.4148148148148
155,acrAB,527.2816901408451
156,acrAB,522.86
157,acrAB,514.4407582938388
158,acrAB,512.4264705882352
159,acrAB,522.1792828685259
160,acrAB,513.9895833333334
161,acrAB,529.7101449275362
162,acrAB,519.8133333333334
163,acrAB,516.4200913242009
164,acrAB,519.8468899521531
165,acrAB,527.5373134328358
166,acrAB,515.3372093023256
167,acrAB,525.4924242424242
168,acrAB,522.2258064516129
169,acrAB,524.1545454545454
170,acrAB,516.198275862069
171,acrAB,513.5
172,acrAB,517.4711538461538
173,acrAB,512.3660714285714
174,acrAB,515.1179775280899
175,acrAB,524.4969696969697
176,acrAB,518.2083333333334
177,acrAB,521.2743902439024
178,acrAB,511.195
179,acrAB,516.3448275862069
180,acrAB,522.3333333333334
181,acrAB,518.7307692307693
182,acrAB,520.5538461538462
183,acrAB,520.1593406593406
184,acrAB,521.3396226415094
185,acrAB,510.1777777777778
186,acrAB,516.6480263157895
187,acrAB,516.7773109243698
188,acrAB,515.602787456446
189,acrAB,523.8379888268156
190,acrAB,522.016393442623
191,acrAB,511.5135135135135
192,acrAB,514.9065420560747
193,acrAB,511.2364864864865
194,acrAB,517.1609195402299
195,acrAB,517.1164021164021
196,acrAB,519.2348484848485
197,acrAB,511.3669724770642
198,acrAB,508.3431952662722
199,acrAB,518.0928961748634
200,acrAB,518.3691275167786
201,acrAB,520.3376623376623
202,acrAB,509.05298013245033
203,acrAB,514.7796610169491
204,acrAB,512.4380165289256
205,acrAB,534.1732283464567
206,acrAB,517.4568527918782
207,acrAB,520.0795454545455
208,acrAB,530.2663755458515
209,acrAB,516.8426395939086
210,acrAB,525.2916666666666
211,acrAB,530.2277227722773
212,acrAB,514.2988047808765
213,acrAB,524.0217391304348
214,acrAB,513.0442477876106
215,acrAB,532.5414012738853
216,acrAB,512.9084507042254
217,acrAB,520.8318584070796
218,acrAB,520.6730769230769
219,acrAB,509.13917525773195
220,acrAB,520.2348993288591
221,acrAB,515.7828571428571
